topic_id|num_related|title|abstract|relevant|topic_name
CD010339|5117392|An evaluation of manometric operative cholangiography in 100 patients with biliary disease.||0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|5117392|An evaluation of manometric operative cholangiography in 100 patients with biliary disease.||0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|5117392|An evaluation of manometric operative cholangiography in 100 patients with biliary disease.||0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|22776174|Remote access laparoscopic (REAL) surgery: a novel approach for single-port surgery without a visible scar.|Single-port laparoscopic surgery usually uses the transumbilical approach. However, the transumbilical incision may be associated with a high frequency of wound-related complications, including trocar site hernia and infection. Therefore, we developed remote access laparoscopic (REAL) surgery, a new access technique for single-port surgery within the pubic hairline. This study reports on a technique developed at our institution and describes our preliminary results.|0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|22776174|Remote access laparoscopic (REAL) surgery: a novel approach for single-port surgery without a visible scar.|Single-port laparoscopic surgery usually uses the transumbilical approach. However, the transumbilical incision may be associated with a high frequency of wound-related complications, including trocar site hernia and infection. Therefore, we developed remote access laparoscopic (REAL) surgery, a new access technique for single-port surgery within the pubic hairline. This study reports on a technique developed at our institution and describes our preliminary results.|0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|22776174|Remote access laparoscopic (REAL) surgery: a novel approach for single-port surgery without a visible scar.|Single-port laparoscopic surgery usually uses the transumbilical approach. However, the transumbilical incision may be associated with a high frequency of wound-related complications, including trocar site hernia and infection. Therefore, we developed remote access laparoscopic (REAL) surgery, a new access technique for single-port surgery within the pubic hairline. This study reports on a technique developed at our institution and describes our preliminary results.|0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|16863577|Small gallstones, acute pancreatitis, and prophylactic cholecystectomy.||0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|16863577|Small gallstones, acute pancreatitis, and prophylactic cholecystectomy.||0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|16863577|Small gallstones, acute pancreatitis, and prophylactic cholecystectomy.||0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|10896375|Portoenterostomy: an old treatment for a new disease.|Portoenterostomy may be an effective treatment for patients sustaining a thermal injury to the hepatic duct confluence during laparoscopic cholecystectomy.|0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|10896375|Portoenterostomy: an old treatment for a new disease.|Portoenterostomy may be an effective treatment for patients sustaining a thermal injury to the hepatic duct confluence during laparoscopic cholecystectomy.|0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|10896375|Portoenterostomy: an old treatment for a new disease.|Portoenterostomy may be an effective treatment for patients sustaining a thermal injury to the hepatic duct confluence during laparoscopic cholecystectomy.|0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|8128019|[The echographic diagnosis of biliary ileus. A case report].||0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|8128019|[The echographic diagnosis of biliary ileus. A case report].||0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|8128019|[The echographic diagnosis of biliary ileus. A case report].||0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|5797214|Retained common duct stones: a new nonoperative technique for treatment.||0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|5797214|Retained common duct stones: a new nonoperative technique for treatment.||0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|5797214|Retained common duct stones: a new nonoperative technique for treatment.||0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|9695387|Gallstone disease in the Himalayas (Sikkim and north Bengal): causation and stone analysis.|To know the extent of gallstone disease in Sikkim and North Bengal.|0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|9695387|Gallstone disease in the Himalayas (Sikkim and north Bengal): causation and stone analysis.|To know the extent of gallstone disease in Sikkim and North Bengal.|0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|9695387|Gallstone disease in the Himalayas (Sikkim and north Bengal): causation and stone analysis.|To know the extent of gallstone disease in Sikkim and North Bengal.|0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|950098|The effect of loss of gallbladder function on biliary lipid composition in subjects with cholesterol gallstones.|The effect on biliary lipid and bile acid composition was assessed during the development of gallbladder nonfunction in 5 subjects with asymptomatic cholesterol cholelithiasis. There was a significant increase in the relative proportion of bile salt but a decrease in that of cholesterol in bile after development of gallbladder nonfunction which persisted after recovery from cholecystectomy. These findings were associated with a decrease in cholesterol crystals in bile sediment and an increase in the proportion of secondary bile acids after cholangiographic evidence of gallbladder nonfunction. Percentage cholesterol saturation of bile reverted to normal after development of gallbladder nonfunction which persisted after recovery from cholecystectomy.|0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|950098|The effect of loss of gallbladder function on biliary lipid composition in subjects with cholesterol gallstones.|The effect on biliary lipid and bile acid composition was assessed during the development of gallbladder nonfunction in 5 subjects with asymptomatic cholesterol cholelithiasis. There was a significant increase in the relative proportion of bile salt but a decrease in that of cholesterol in bile after development of gallbladder nonfunction which persisted after recovery from cholecystectomy. These findings were associated with a decrease in cholesterol crystals in bile sediment and an increase in the proportion of secondary bile acids after cholangiographic evidence of gallbladder nonfunction. Percentage cholesterol saturation of bile reverted to normal after development of gallbladder nonfunction which persisted after recovery from cholecystectomy.|0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|950098|The effect of loss of gallbladder function on biliary lipid composition in subjects with cholesterol gallstones.|The effect on biliary lipid and bile acid composition was assessed during the development of gallbladder nonfunction in 5 subjects with asymptomatic cholesterol cholelithiasis. There was a significant increase in the relative proportion of bile salt but a decrease in that of cholesterol in bile after development of gallbladder nonfunction which persisted after recovery from cholecystectomy. These findings were associated with a decrease in cholesterol crystals in bile sediment and an increase in the proportion of secondary bile acids after cholangiographic evidence of gallbladder nonfunction. Percentage cholesterol saturation of bile reverted to normal after development of gallbladder nonfunction which persisted after recovery from cholecystectomy.|0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|19172126|Is endoscopic retrograde cholangiopancreatography valuable and safe in children of all ages?|To evaluate indications, findings, therapies, safety, and technical success of endoscopic retrograde cholangiopancreatography (ERCP) in children of the Emma Children's Hospital Academic Medical Centre in Amsterdam, the Netherlands.|0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|19172126|Is endoscopic retrograde cholangiopancreatography valuable and safe in children of all ages?|To evaluate indications, findings, therapies, safety, and technical success of endoscopic retrograde cholangiopancreatography (ERCP) in children of the Emma Children's Hospital Academic Medical Centre in Amsterdam, the Netherlands.|0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|19172126|Is endoscopic retrograde cholangiopancreatography valuable and safe in children of all ages?|To evaluate indications, findings, therapies, safety, and technical success of endoscopic retrograde cholangiopancreatography (ERCP) in children of the Emma Children's Hospital Academic Medical Centre in Amsterdam, the Netherlands.|0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|9531120|Magnetic resonance cholangiopancreatography: a new technique for evaluating the biliary tract and pancreatic duct.|Magnetic resonance cholangiopancreatography (MRCP) represents a new development in MR technology that provides a noninvasive accurate means of evaluating the biliary tree and pancreatic duct. Recent technical refinements that allow for imaging of the entire biliary tree and pancreatic duct in 18 seconds make this examination easily performed even in critically ill patients. The clinical applications of MRCP are illustrated in a variety of scenarios that include choledocholithiasis, malignant obstruction, incomplete/failed endoscopic retrograde cholangiopancreatographies (ERCPs), postsurgical alterations of the biliary tract and gastrointestinal tract such as biliary-enteric anastomoses, intrahepatic bile duct pathology such as sclerosing cholangitis and AIDS cholangiopathy, chronic pancreatitis, congenital anomalies of the biliary tract and pancreatic duct, and gallbladder pathology.|0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|9531120|Magnetic resonance cholangiopancreatography: a new technique for evaluating the biliary tract and pancreatic duct.|Magnetic resonance cholangiopancreatography (MRCP) represents a new development in MR technology that provides a noninvasive accurate means of evaluating the biliary tree and pancreatic duct. Recent technical refinements that allow for imaging of the entire biliary tree and pancreatic duct in 18 seconds make this examination easily performed even in critically ill patients. The clinical applications of MRCP are illustrated in a variety of scenarios that include choledocholithiasis, malignant obstruction, incomplete/failed endoscopic retrograde cholangiopancreatographies (ERCPs), postsurgical alterations of the biliary tract and gastrointestinal tract such as biliary-enteric anastomoses, intrahepatic bile duct pathology such as sclerosing cholangitis and AIDS cholangiopathy, chronic pancreatitis, congenital anomalies of the biliary tract and pancreatic duct, and gallbladder pathology.|0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|9531120|Magnetic resonance cholangiopancreatography: a new technique for evaluating the biliary tract and pancreatic duct.|Magnetic resonance cholangiopancreatography (MRCP) represents a new development in MR technology that provides a noninvasive accurate means of evaluating the biliary tree and pancreatic duct. Recent technical refinements that allow for imaging of the entire biliary tree and pancreatic duct in 18 seconds make this examination easily performed even in critically ill patients. The clinical applications of MRCP are illustrated in a variety of scenarios that include choledocholithiasis, malignant obstruction, incomplete/failed endoscopic retrograde cholangiopancreatographies (ERCPs), postsurgical alterations of the biliary tract and gastrointestinal tract such as biliary-enteric anastomoses, intrahepatic bile duct pathology such as sclerosing cholangitis and AIDS cholangiopathy, chronic pancreatitis, congenital anomalies of the biliary tract and pancreatic duct, and gallbladder pathology.|0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|16145914|[Preventive effect of 5-fluorouracil on post-ERCP pancreatitis].|To investigate the preventive effect of 5-fluorouracil (5-FU) on post-ERCP (endoscopic retrograde cholangiopancreatography) hyperamy-lasemia and pancreatitis.|0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|16145914|[Preventive effect of 5-fluorouracil on post-ERCP pancreatitis].|To investigate the preventive effect of 5-fluorouracil (5-FU) on post-ERCP (endoscopic retrograde cholangiopancreatography) hyperamy-lasemia and pancreatitis.|0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|16145914|[Preventive effect of 5-fluorouracil on post-ERCP pancreatitis].|To investigate the preventive effect of 5-fluorouracil (5-FU) on post-ERCP (endoscopic retrograde cholangiopancreatography) hyperamy-lasemia and pancreatitis.|0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|6185702|Endoscopic retrograde cholangiopancreatography. Diagnosis of cholelithiasis in patients with normal gallbladder x-ray and ultrasound studies.|The combination of a normal oral cholecystogram and ultrasound study of the gallbladder is considered adequate evidence to exclude cholelithiasis as a cause of biliarylike pain. We examined 206 patients with biliarylike pain and normal findings on cholecystogram and ultrasound study of the gallbladder by endoscopic retrograde cholangiopancreatography (ERCP). Of the 195 patients who had successful ERCP, 32 patients (group 1) had mild, transient abnormalities in liver function tests and 163 (group 2) had normal liver function test results. Small gallstones were demonstrated on ERCP examination in 25 of 32 group 1 patients and in four of 163 group 2 patients, all confirmed at surgery or endoscopic sphincterotomy. In conclusion, despite negative results on cholecystogram and ultrasound study of the gallbladder, patients with biliarylike pain and abnormal liver function test results should be evaluated further by diagnostic ERCP examination.|0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|6185702|Endoscopic retrograde cholangiopancreatography. Diagnosis of cholelithiasis in patients with normal gallbladder x-ray and ultrasound studies.|The combination of a normal oral cholecystogram and ultrasound study of the gallbladder is considered adequate evidence to exclude cholelithiasis as a cause of biliarylike pain. We examined 206 patients with biliarylike pain and normal findings on cholecystogram and ultrasound study of the gallbladder by endoscopic retrograde cholangiopancreatography (ERCP). Of the 195 patients who had successful ERCP, 32 patients (group 1) had mild, transient abnormalities in liver function tests and 163 (group 2) had normal liver function test results. Small gallstones were demonstrated on ERCP examination in 25 of 32 group 1 patients and in four of 163 group 2 patients, all confirmed at surgery or endoscopic sphincterotomy. In conclusion, despite negative results on cholecystogram and ultrasound study of the gallbladder, patients with biliarylike pain and abnormal liver function test results should be evaluated further by diagnostic ERCP examination.|0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|6185702|Endoscopic retrograde cholangiopancreatography. Diagnosis of cholelithiasis in patients with normal gallbladder x-ray and ultrasound studies.|The combination of a normal oral cholecystogram and ultrasound study of the gallbladder is considered adequate evidence to exclude cholelithiasis as a cause of biliarylike pain. We examined 206 patients with biliarylike pain and normal findings on cholecystogram and ultrasound study of the gallbladder by endoscopic retrograde cholangiopancreatography (ERCP). Of the 195 patients who had successful ERCP, 32 patients (group 1) had mild, transient abnormalities in liver function tests and 163 (group 2) had normal liver function test results. Small gallstones were demonstrated on ERCP examination in 25 of 32 group 1 patients and in four of 163 group 2 patients, all confirmed at surgery or endoscopic sphincterotomy. In conclusion, despite negative results on cholecystogram and ultrasound study of the gallbladder, patients with biliarylike pain and abnormal liver function test results should be evaluated further by diagnostic ERCP examination.|0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|12447295|EUS in the management of uninvestigated dyspepsia.|Management of dyspepsia often involves multiple diagnostic tests. By virtue of luminal and extraluminal imaging, EUS may be a satisfactory single test for the evaluation of patients with dyspepsia.|0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|12447295|EUS in the management of uninvestigated dyspepsia.|Management of dyspepsia often involves multiple diagnostic tests. By virtue of luminal and extraluminal imaging, EUS may be a satisfactory single test for the evaluation of patients with dyspepsia.|0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|12447295|EUS in the management of uninvestigated dyspepsia.|Management of dyspepsia often involves multiple diagnostic tests. By virtue of luminal and extraluminal imaging, EUS may be a satisfactory single test for the evaluation of patients with dyspepsia.|0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|1914923|"[""Sludge"" in the gallbladder--a critical diagnostic finding]."||0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|1914923|"[""Sludge"" in the gallbladder--a critical diagnostic finding]."||0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|1914923|"[""Sludge"" in the gallbladder--a critical diagnostic finding]."||0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|8418402|Early treatment of acute biliary pancreatitis by endoscopic papillotomy.|Most patients with acute biliary pancreatitis have stones in the biliary tract or ampulla of Vater. Because these stones may be passed spontaneously soon after a patient is admitted to the hospital, the importance of early operative removal is not known. We tested the hypothesis that endoscopic papillotomy within 24 hours of admission decreased the incidence of complications in patients with acute biliary pancreatitis.|0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|8418402|Early treatment of acute biliary pancreatitis by endoscopic papillotomy.|Most patients with acute biliary pancreatitis have stones in the biliary tract or ampulla of Vater. Because these stones may be passed spontaneously soon after a patient is admitted to the hospital, the importance of early operative removal is not known. We tested the hypothesis that endoscopic papillotomy within 24 hours of admission decreased the incidence of complications in patients with acute biliary pancreatitis.|0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|8418402|Early treatment of acute biliary pancreatitis by endoscopic papillotomy.|Most patients with acute biliary pancreatitis have stones in the biliary tract or ampulla of Vater. Because these stones may be passed spontaneously soon after a patient is admitted to the hospital, the importance of early operative removal is not known. We tested the hypothesis that endoscopic papillotomy within 24 hours of admission decreased the incidence of complications in patients with acute biliary pancreatitis.|0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|21377820|Comparison of three-dimensional negative-contrast CT cholangiopancreatography with three-dimensional MR cholangiopancreatography for the diagnosis of obstructive biliary diseases.|The purpose of our study was to compare three-dimensional (3D) negative-contrast CT cholangiopancreatography (3D-nCTCP) with 3D MR cholangiopancreatography (3D-MRCP) for the diagnosis of obstructive biliary diseases.|0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|21377820|Comparison of three-dimensional negative-contrast CT cholangiopancreatography with three-dimensional MR cholangiopancreatography for the diagnosis of obstructive biliary diseases.|The purpose of our study was to compare three-dimensional (3D) negative-contrast CT cholangiopancreatography (3D-nCTCP) with 3D MR cholangiopancreatography (3D-MRCP) for the diagnosis of obstructive biliary diseases.|0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|21377820|Comparison of three-dimensional negative-contrast CT cholangiopancreatography with three-dimensional MR cholangiopancreatography for the diagnosis of obstructive biliary diseases.|The purpose of our study was to compare three-dimensional (3D) negative-contrast CT cholangiopancreatography (3D-nCTCP) with 3D MR cholangiopancreatography (3D-MRCP) for the diagnosis of obstructive biliary diseases.|0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|7277798|[Changes of cystic duct on the gall stone disease (author's transl)].||0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|7277798|[Changes of cystic duct on the gall stone disease (author's transl)].||0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|7277798|[Changes of cystic duct on the gall stone disease (author's transl)].||0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
CD010339|7729265|Choledocholithiasis in patients with normal serum liver enzymes.|Retrospective chart review of 330 patients undergoing ERCP over a two-year period yielded five patients with choledocholithiasis whose serum liver enzyme and total bilirubin levels were repeatedly normal. All were female, three were elderly, and the gallbladder was in situ in three of the five, one of whom had a large gallbladder remnant. In four patients, the common bile duct was dilated (> 10 mm), whereas none had intrahepatic duct dilatation. Four patients had a prominent ampulla, and stone size varied widely. Each patient was managed with endoscopic sphincterotomy and stone extraction followed by cholecystectomy for the four patients with the gallbladder or its remnant in situ. This small series proves that common duct stones may exist in patients with repeatedly normal serum liver enzyme and total bilirubin levels. We hypothesize that marked dilatation of the common bile duct or gallbladder may serve as a pressure sump and blunt liver enzyme elevation. Normal liver enzymes should not dissuade one from performing cholangiography in patients with suspected choledocholithiasis.|0|Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones
CD011548|7729265|Choledocholithiasis in patients with normal serum liver enzymes.|Retrospective chart review of 330 patients undergoing ERCP over a two-year period yielded five patients with choledocholithiasis whose serum liver enzyme and total bilirubin levels were repeatedly normal. All were female, three were elderly, and the gallbladder was in situ in three of the five, one of whom had a large gallbladder remnant. In four patients, the common bile duct was dilated (> 10 mm), whereas none had intrahepatic duct dilatation. Four patients had a prominent ampulla, and stone size varied widely. Each patient was managed with endoscopic sphincterotomy and stone extraction followed by cholecystectomy for the four patients with the gallbladder or its remnant in situ. This small series proves that common duct stones may exist in patients with repeatedly normal serum liver enzyme and total bilirubin levels. We hypothesize that marked dilatation of the common bile duct or gallbladder may serve as a pressure sump and blunt liver enzyme elevation. Normal liver enzymes should not dissuade one from performing cholangiography in patients with suspected choledocholithiasis.|0|Ultrasound versus liver function tests for diagnosis of common bile duct stones
CD011549|7729265|Choledocholithiasis in patients with normal serum liver enzymes.|Retrospective chart review of 330 patients undergoing ERCP over a two-year period yielded five patients with choledocholithiasis whose serum liver enzyme and total bilirubin levels were repeatedly normal. All were female, three were elderly, and the gallbladder was in situ in three of the five, one of whom had a large gallbladder remnant. In four patients, the common bile duct was dilated (> 10 mm), whereas none had intrahepatic duct dilatation. Four patients had a prominent ampulla, and stone size varied widely. Each patient was managed with endoscopic sphincterotomy and stone extraction followed by cholecystectomy for the four patients with the gallbladder or its remnant in situ. This small series proves that common duct stones may exist in patients with repeatedly normal serum liver enzyme and total bilirubin levels. We hypothesize that marked dilatation of the common bile duct or gallbladder may serve as a pressure sump and blunt liver enzyme elevation. Normal liver enzymes should not dissuade one from performing cholangiography in patients with suspected choledocholithiasis.|0|Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones
